FormulaBomItemID,ProductFormulaRef,ItemRef,Quantity,SecondaryQuantity,Description,ItemTracingRef
593,77,2176,0.1500,,,
594,77,2198,0.0210,,,
595,77,2010,1.0000,,,
598,78,1953,0.0300,,,
599,78,1977,0.0250,,,
600,78,2108,1.0000,,,
601,78,2221,1.0000,,,
602,78,1859,1.0000,,,
603,78,2184,0.0400,,,
604,78,2173,0.1000,,,
605,78,2176,0.2000,,,
606,78,2172,0.0870,,,
607,78,2198,0.0210,,,
608,78,2010,1.0000,,,
611,79,1960,0.0150,15.0000,,
613,79,1977,0.0250,,,
614,79,1981,0.0300,,,
615,79,2213,0.0150,,,
616,79,2108,1.0000,,,
617,79,2221,1.0000,,,
618,79,1859,1.0000,,,
619,79,2176,0.1800,,,
620,79,2198,0.0210,,,
621,79,2183,0.1200,,,
622,79,2010,1.0000,,,
625,80,1953,0.0300,,,
626,80,1977,0.0250,,,
627,80,2108,1.0000,,,
628,80,2221,1.0000,,,
629,80,1859,1.0000,,,
630,80,2176,0.2000,,,
631,80,2172,0.2060,,,
632,80,2198,0.0210,,,
633,80,2010,1.0000,,,
636,81,1977,0.0250,,,
637,81,2108,1.0000,,,
638,81,2221,1.0000,,,
639,81,1859,1.0000,,,
640,81,2176,0.1800,,,
641,81,2198,0.0210,,,
642,81,2183,0.1200,,,
643,81,2010,1.0000,,,
646,82,1953,0.0300,,,
647,82,1977,0.0250,,,
648,82,2108,1.0000,,,
649,82,2221,1.0000,,,
650,82,1859,1.0000,,,
651,82,2184,0.1400,,,
652,82,2176,0.1800,,,
653,82,2198,0.0210,,,
654,82,2010,1.0000,,,
657,83,1953,0.0300,,,
658,83,1977,0.0250,,,
659,83,2108,1.0000,,,
660,83,2221,1.0000,,,
661,83,1859,1.0000,,,
662,83,2166,0.1500,,,
663,83,2176,0.2000,,,
664,83,2198,0.0210,,,
665,83,2010,1.0000,,,
668,84,1953,0.0300,,,
669,84,1977,0.0250,,,
670,84,2108,1.0000,,,
671,84,2221,1.0000,,,
672,84,1859,1.0000,,,
673,84,2173,0.2280,,,
674,84,2176,0.2000,,,
675,84,2198,0.0210,,,
676,84,2010,1.0000,,,
679,85,1971,0.0150,,,
680,85,1979,0.0300,,,
681,85,1980,0.0350,,,
682,85,2105,1.0000,,,
683,85,2221,1.0000,,,
684,85,1859,1.0000,,,
685,85,1863,0.0090,,,
686,85,2187,1.0000,,,
687,85,2180,0.0700,,,
688,85,2175,0.0900,,,
689,85,2021,1.0000,,,
690,86,2191,1.0000,,,
691,86,2199,1.0000,,,
692,87,1961,0.0200,,,
693,87,1963,0.0300,,,
694,87,1979,0.2600,,,
695,87,1981,0.0350,,,
696,87,1923,0.0150,,,
697,87,2185,1.0000,,,
698,87,2173,0.2140,,,
699,87,2179,0.0300,,,
700,87,2220,0.0150,,,
701,87,1995,2.0000,,,
702,87,2023,1.0000,,,
703,87,2024,1.0000,,,
704,88,1953,0.1300,,,
705,88,1968,0.0100,,,
706,88,1971,0.0200,,,
707,88,1979,0.0300,,,
708,88,1980,0.0350,,,
709,88,2106,1.0000,,,
710,88,2221,1.0000,,,
711,88,1859,1.0000,,,
712,88,1863,0.0090,,,
713,88,2175,0.1000,,,
714,88,2172,0.1900,,,
715,88,2218,0.0400,,,
716,88,2202,0.0120,,,
717,88,2004,1.0000,,,
718,88,2026,1.0000,,,
719,89,1971,0.0200,,,
720,89,1979,0.0350,,,
721,89,1980,0.0350,,,
722,89,1923,0.1200,,,
723,89,2106,1.0000,,,
724,89,2221,1.0000,,,
725,89,1859,1.0000,,,
726,89,2175,0.1000,,,
727,89,2218,0.0400,,,
728,89,2202,0.0120,,,
729,89,2004,1.0000,,,
730,89,2026,1.0000,,,
731,90,1971,0.0200,,,
732,90,1979,0.0350,,,
733,90,1980,0.0350,,,
734,90,2106,1.0000,,,
735,90,2221,1.0000,,,
736,90,1859,1.0000,,,
737,90,2175,0.1000,,,
738,90,2218,0.0400,,,
739,90,2202,0.0120,,,
740,90,2004,1.0000,,,
741,90,2026,1.0000,,,
742,91,1953,0.1000,,,
743,91,1968,0.0100,,,
744,91,1971,0.0200,,,
745,91,1979,0.0300,,,
746,91,1980,0.0350,,,
747,91,2106,1.0000,,,
748,91,2221,1.0000,,,
749,91,1859,1.0000,,,
750,91,2175,0.1000,,,
751,91,2218,0.0400,,,
752,91,2202,0.0120,,,
753,91,2168,1.0000,,,
754,91,2004,1.0000,,,
755,91,2026,1.0000,,,
756,93,1859,1.0000,,,
757,93,1953,0.1000,,,
758,93,1968,0.0100,,,
759,93,1971,0.0200,,,
760,93,1979,0.0300,,,
761,93,1980,0.0350,,,
762,93,2004,1.0000,,,
763,93,2026,1.0000,,,
764,93,2106,1.0000,,,
765,93,2181,1.0000,,,
766,93,2175,0.1000,,,
767,93,2202,0.0120,,,
768,93,2218,0.0400,,,
769,93,2221,1.0000,,,
770,92,1971,0.0200,,,
771,92,1979,0.0300,,,
772,92,1980,0.0350,,,
774,92,2106,1.0000,,,
775,92,2221,1.0000,,,
776,92,1859,1.0000,,,
777,92,1863,0.0090,,,
778,92,2189,2.0000,,,
779,92,2175,0.0700,,,
780,92,2218,0.0400,,,
781,92,2202,0.0120,,,
782,92,2004,1.0000,,,
783,92,2026,1.0000,,,
785,94,1970,0.5000,,,
786,94,2221,1.0000,,,
787,94,1859,1.0000,,,
788,94,1863,0.0160,,,
789,94,1996,2.0000,,,
790,94,2007,1.0000,,,
791,94,1896,0.0010,,,
792,95,1979,0.0400,,,
793,95,2231,0.0850,,,
794,95,2226,1.0000,,,
795,95,2233,1.0000,,,
796,95,2221,1.0000,,,
797,95,1859,1.0000,,,
798,95,1863,0.0160,,,
799,95,2200,0.0400,,,
800,95,2202,0.0120,,,
801,95,2234,1.0000,,,
802,96,1971,0.0150,,,
803,96,1979,0.0300,,,
804,96,1980,0.0350,,,
805,96,2105,1.0000,,,
806,96,2221,1.0000,,,
807,96,1859,1.0000,,,
808,96,2187,1.0000,,,
809,96,2180,0.0700,,,
810,96,2175,0.0900,,,
811,96,2174,0.0950,,,
812,96,2021,1.0000,,,
813,99,1881,0.0250,,,
814,99,1960,13.0000,13000.0000,,
815,99,1863,0.9000,,,
816,99,1998,5.0000,,,
817,100,2044,0.0251,25.1000,,
818,100,1986,0.0078,7.8000,,
819,100,1972,0.0094,9.4000,,
820,100,2055,0.0094,,,
821,100,2064,0.1256,,,
822,100,1976,0.2355,,,
823,100,2245,0.0942,,,
824,100,2114,0.2511,251.1000,,
825,100,1916,0.0031,3.1000,,
826,100,1917,0.0025,2.5110,,
827,100,1893,0.0628,62.8000,,
828,100,1886,0.0025,2.5110,,
829,100,1882,0.0012,,,
830,100,1898,0.0125,,,
831,100,1906,0.0094,9.4000,,
832,100,1901,0.0063,6.2790,,
833,100,1868,0.0628,, ,
834,100,1864,0.2197,,,
835,101,1938,1.0000,,,
836,101,2279,0.1500,,,
837,102,1940,0.0700,,,
