ElementId,Title,Title_En,Class,Type,NormalType,AccountRef,DlType,InsuranceCoverage,Taxable,UnrelatedToWorkingTime,CalculateForMinWorkingTime,CalculateForMinBase,Coefficient,FixPoint,DenominatorsType,Denominators,SavingRemainder,IsActive,DisplayOrder,Version,Creator,CreationDate,LastModifier,LastModificationDate,PaymentAccountRef,PaymentDlType,ElementTaxType
-304,رفاهي و انگيزشي و بهره وري محاسبه شده,رفاهي و انگيزشي و بهره وري محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,304,1,1,2025-05-21 09:33:34.813000,1,2025-05-21 09:33:34.813000,,,0
-303,حق كشيك محاسبه شده,حق كشيك محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,303,1,1,2025-05-21 09:33:34.813000,1,2025-05-21 09:33:34.813000,,,0
-302,حق التدريس-حق التحقيق-حق پژوهش محاسبه شده,حق التدريس-حق التحقيق-حق پژوهش محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,302,1,1,2025-05-21 09:33:34.813000,1,2025-05-21 09:33:34.813000,,,0
-301,اضافه كار محاسبه شده,اضافه كار محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,301,1,1,2025-05-21 09:33:34.763000,1,2025-05-21 09:33:34.763000,,,0
-300,جمع عوامل مستمر نقدي مشمول ماليات,جمع عوامل مستمر نقدي مشمول ماليات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,300,1,1,2018-03-05 13:34:03.237000,1,2018-03-05 13:34:03.237000,,,0
-270,خالص پرداختي,خالص پرداختي,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,270,1,1,2018-03-05 13:34:03.237000,1,2018-03-05 13:34:03.237000,,,0
-260,قابل پرداخت,قابل پرداخت,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,260,1,1,2018-03-05 13:34:03.237000,1,2018-03-05 13:34:03.237000,,,0
-250,جمع كسور,جمع كسور,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,250,1,1,2018-03-05 13:34:03.237000,1,2018-03-05 13:34:03.237000,,,0
-247,جمع اقساط وام ماه جاري,جمع اقساط وام ماه جاري,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,247,1,1,2018-03-05 13:34:03.237000,1,2018-03-05 13:34:03.237000,,,0
-245,رند قبلي حقوق,رند قبلي حقوق,2,6,1,,0,,False,,,,1.0000,0.0000,,,,True,245,1,1,2018-03-05 13:34:03.233000,1,2018-03-05 13:34:03.233000,,,0
-240,رند حقوق,رند حقوق,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,240,1,1,2018-03-05 13:34:03.230000,1,2018-03-05 13:34:03.230000,,,0
-230,ساير كسورات,ساير كسورات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,230,1,1,2018-03-05 13:34:03.230000,1,2018-03-05 13:34:03.230000,,,0
-220,مزاياي مشمول بيمه,مزاياي مشمول بيمه,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,220,1,1,2018-03-05 13:34:03.230000,1,2018-03-05 13:34:03.230000,,,0
-210,كل حقوق و مزايا,كل حقوق و مزايا,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,210,1,1,2018-03-05 13:34:03.230000,1,2018-03-05 13:34:03.230000,,,0
-200,دستمزد ماهانه بيمه,دستمزد ماهانه بيمه,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,200,1,1,2018-03-05 13:34:03.230000,1,2018-03-05 13:34:03.230000,,,0
-190,دستمزد روزانه بيمه,دستمزد روزانه بيمه,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,190,1,1,2018-03-05 13:34:03.230000,1,2018-03-05 13:34:03.230000,,,0
-180,بيمه مشاغل سخت,بيمه مشاغل سخت,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,180,1,1,2018-03-05 13:34:03.230000,1,2018-03-05 13:34:03.230000,,,0
-170,بيمه بيكاري,بيمه بيكاري,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,170,1,1,2018-03-05 13:34:03.230000,1,2018-03-05 13:34:03.230000,,,0
