Database: Sepidar01
============================================================
Schema.Table                             | Records
PAY.vwPiofyAttendanceFactor              | 0
DST.vwSalesLimitItemParty                | 0
SLS.vwReturnedInvoiceItemSerial          | 0
PAY.vwPiofyAttendanceFactorMapper        | 0
DST.vwSaleTypeConstraint                 | 0
SLS.vwSaleType                           | 3
PAY.vwPiofyMonthlyCalculation            | 0
DST.vwSaleTypeConstraintItem             | 0
PAY.vwSettlement                         | 0
DST.vwUnexecutedActReason                | 0
WKO.vwAbstractProductOperation           | 0
PAY.vwSettlementItem                     | 0
FMK.vwApiLog                             | 0
WKO.vwAbstractProductOperationItem       | 0
PAY.vwTaxTable                           | 66
FMK.vwUserPhone                          | 3
WKO.vwFormulaBomItem                     | 889
PAY.vwTaxTableItem                       | 230
GNR.vwMarketingDiskettItemCategoryMapper | 0
WKO.vwFormulaBomItemAlternative          | 0
POM.vwBillOfLoading                      | 0
GNR.vwTaxPayerPartyMapping               | 89
WKO.vwProductFormula                     | 101
POM.vwBillOfLoadingItem                  | 0
GNR.vwBill                               | 0
WKO.vwProductionScheduling               | 0
POM.vwCommercialOrder                    | 0
GNR.vwBillItem                           | 0
WKO.vwProductOperation                   | 0
POM.vwCommercialOrderCostedPrices        | 0
GNR.vwBrokerOpeningBalance               | 70
WKO.vwProductOperationItem               | 0
POM.vwCommercialOrderItem                | 0
GNR.vwClosingOperation                   | 0
WKO.vwProductOrder                       | 2200
POM.vwCustoms                            | 0
GNR.vwCommunication                      | 0
WKO.vwProductOrderActualBOMConsumption   | 14955
POM.vwCustomsClearance                   | 0
GNR.vwCommunicationConfiguration         | 0
ACC.vwAccount                            | 302
WKO.vwProductOrderBOMItem                | 14714
POM.vwCustomsClearanceItem               | 0
GNR.vwCostCenter                         | 8
ACC.vwAccountTopic                       | 178
DST.vwOrderItem                          | 0
POM.vwInsurancePolicy                    | 0
GNR.vwCurrencyExchangeRate               | 2
ACC.vwGLVoucher                          | 0
DST.vwReturnOrderItem                    | 0
POM.vwInsurancePolicyCostedPrices        | 0
GNR.vwCustomerOpeningBalance             | 80
ACC.vwGLVoucherItem                      | 0
POM.vwInsurancePolicyItem                | 0
GNR.vwDebitCreditNote                    | 26
ACC.vwMergedVoucherReferenceNumber       | 0
POM.vwItemRequest                        | 0
GNR.vwDebitCreditNoteItem                | 26
