ItemStockSummaryID,StockRef,ItemRef,TracingRef,Order,UnitRef,InputQuantity,OutputQuantity,Quantity,SaleQuantity,FiscalYearRef,SaleWithReserveQuantity,FeedFromClosingOperation
903,13,2171,,1,1,448.0000,383.2900,64.7100,0.0000,1,0.0000,False
904,13,2196,,1,2,487.0000,458.0000,29.0000,0.0000,1,0.0000,False
905,13,2113,,1,2,763.0000,162.0000,601.0000,0.0000,1,0.0000,False
906,13,2187,,1,2,45293.0000,44803.0000,490.0000,0.0000,1,0.0000,False
907,13,1863,,1,5,1198.3410,528.1190,670.2220,0.0000,1,0.0000,False
908,13,1961,,1,1,57.1100,13.5600,43.5500,0.0000,1,0.0000,False
909,13,2188,,1,2,9624.0000,9432.0000,192.0000,0.0000,1,0.0000,False
910,13,1995,,1,2,5600.0000,1978.0000,3622.0000,0.0000,1,0.0000,False
911,13,2178,,1,1,262.2000,288.8300,-26.6300,0.0000,1,0.0000,False
912,13,2181,,1,2,571.0000,563.0000,8.0000,0.0000,1,0.0000,False
913,13,2167,,1,2,1507.0000,1460.0000,47.0000,0.0000,1,0.0000,False
914,13,1896,,1,1,13.5500,4.3430,9.2070,0.0000,1,0.0000,False
915,13,1923,,1,1,147.8000,85.5000,62.3000,0.0000,1,0.0000,False
916,13,2176,,1,1,3857.5000,3271.3000,586.2000,0.0000,1,0.0000,False
917,13,1859,,1,2,156800.0000,84425.0000,72375.0000,0.0000,1,0.0000,False
918,13,2023,,1,2,1110.0000,678.0000,432.0000,0.0000,1,0.0000,False
919,13,1997,,1,2,5275.0000,622.0000,4653.0000,0.0000,1,0.0000,False
920,13,2185,,1,2,743.0000,694.0000,49.0000,0.0000,1,0.0000,False
921,13,2192,,1,2,440.0000,440.0000,0.0000,0.0000,1,0.0000,False
922,10,1893,,2,14,600575.6760,463228.9760,137346.7000,0.0000,1,0.0000,False
923,10,2267,,1,1,328.0000,228.0000,100.0000,0.0000,1,0.0000,False
924,10,1876,,2,14,3308.0000,2444.0000,864.0000,0.0000,1,0.0000,False
925,10,1877,,2,14,16360.1000,13004.8000,3355.3000,0.0000,1,0.0000,False
926,10,1878,,2,14,30214.1000,34626.0000,-4411.9000,0.0000,1,0.0000,False
927,10,1879,,2,14,3135.3000,937.9000,2197.4000,0.0000,1,0.0000,False
928,10,1883,,2,14,7004.8000,5785.6000,1219.2000,0.0000,1,0.0000,False
929,10,1885,,2,14,5210.2000,3517.1000,1693.1000,0.0000,1,0.0000,False
930,10,1886,,2,14,24272.0000,22485.9000,1786.1000,0.0000,1,0.0000,False
931,10,1887,,2,14,11740.0000,9262.8000,2477.2000,0.0000,1,0.0000,False
932,10,1889,,2,14,251.2000,565.0000,-313.8000,0.0000,1,0.0000,False
933,10,1892,,2,14,181130.0000,122239.6000,58890.4000,0.0000,1,0.0000,False
934,10,1895,,2,14,3186.0000,16.0000,3170.0000,0.0000,1,0.0000,False
935,10,1900,,2,14,340.0000,304.2000,35.8000,0.0000,1,0.0000,False
936,10,1901,,2,14,6427.2000,5134.6000,1292.6000,0.0000,1,0.0000,False
937,10,1902,,2,14,485.0000,615.0000,-130.0000,0.0000,1,0.0000,False
938,10,1903,,2,14,4018.5000,1742.1000,2276.4000,0.0000,1,0.0000,False
939,10,1906,,2,14,21000.0000,19336.1000,1663.9000,0.0000,1,0.0000,False
940,10,1916,,2,14,2911.3000,3658.0000,-746.7000,0.0000,1,0.0000,False
941,10,1917,,2,14,21626.0000,18434.2000,3191.8000,0.0000,1,0.0000,False
942,10,2162,,2,14,102610.0000,74761.5000,27848.5000,0.0000,1,0.0000,False
943,10,2169,,2,14,8416.3000,4738.6000,3677.7000,0.0000,1,0.0000,False
944,10,2253,,2,14,2000.0000,275.1000,1724.9000,0.0000,1,0.0000,False
945,10,1957,,2,14,230200.0000,213896.8000,16303.2000,0.0000,1,0.0000,False
946,10,1960,,2,14,5112450.0000,5018301.7000,94148.3000,0.0000,1,0.0000,False
947,10,1969,,2,14,1135898.0000,1126898.0000,9000.0000,0.0000,1,0.0000,False
948,10,1972,,2,14,104937.5640,83828.2640,21109.3000,0.0000,1,0.0000,False
949,10,1982,,2,14,7015.0000,6970.0000,45.0000,0.0000,1,0.0000,False
950,10,1920,,2,14,975501.0000,972251.0000,3250.0000,0.0000,1,0.0000,False
951,10,2040,,2,14,35347.8000,29707.9000,5639.9000,0.0000,1,0.0000,False
952,10,2044,,2,14,143955.8000,59881.6000,84074.2000,0.0000,1,0.0000,False
953,10,1986,,2,14,19000.0000,17384.3000,1615.7000,0.0000,1,0.0000,False
954,10,2057,,2,14,12854.5000,8817.1000,4037.4000,0.0000,1,0.0000,False
