LocationId,Title,Title_En,Code,Parent,Type,Version,Creator,CreationDate,LastModifier,LastModificationDate,MinistryofFinanceCode,TaxFileCode
205,بجنورد,بجنورد,0584,14,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2101000,
206,بردسكن,بردسكن,,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1920400,
207,تايباد,تايباد,0529422,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1905000,
208,تربت جام,تربت جام,0528,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1906000,
209,تربت حيدريه,تربت حيدريه,0531,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1907000,
210,جاجرم,جاجرم,0585322,14,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2102000,
211,خواف,خواف,0532422,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1909000,
212,درگز,درگز,0582522,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1910000,
213,سبزوار,سبزوار,0571,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1911000,
214,سرخس,سرخس,0512522,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1912000,
215,شيروان,شيروان,0585622,14,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2105000,
216,طرقبه,طرقبه,0512422,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1901400,
217,قيدار,قيدار,,16,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2904101,
219,ماه نشان,ماه نشان,,16,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2901600,
220,اب بر,اب بر,,16,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2901501,
221,ايجرود,ايجرود,,16,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2901200,
222,ابهر,ابهر,0242521,16,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2902000,
223,خدابنده,خدابنده,,16,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2904000,
224,خرمدره,خرمدره,0242552,16,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2902200,
225,زنجان,زنجان,0241,16,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2901000,
226,زرين اباد - ايجرود,زرين اباد - ايجرود,,16,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2901202,
227,گرمسار,گرمسار,0232422,17,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,9904000,
228,ايوانكي,ايوانكي,,17,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,9904300,
229,بسطام,بسطام,0274522,17,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,9903200,
230,دامغان,دامغان,0232523,17,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,9902000,
231,سمنان,سمنان,0231,17,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,9901000,
232,شاهرود,شاهرود,0273,17,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,9903000,
233,ميرجاوه,ميرجاوه,0543322,18,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,6601200,
234,نيك شهر,نيك شهر,,18,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,6607000,
235,چابهار,چابهار,,18,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,6603000,
236,ايرانشهر,ايرانشهر,0547222,18,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,6602000,
237,خاش,خاش,0543422,18,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,6604000,
238,راسك,راسك,,18,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,6602501,
239,زاهدان,زاهدان,0541,18,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,6601000,
240,زابل,زابل,0542222,18,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,6605000,
