TaxTableItemId,FromAmount,ToAmount,Rate,TaxTableRef,InLineAmount,PartialAmount
195,120000001.0000,960000000.0000,5.00,56,42000000.0000,42000000.0000000000
196,960000001.0000,99999999999.0000,10.00,56,9946000000.0000,9904000000.0000000000
197,1.0000,99999999999.0000,0.00,57,0.0000,0E-10
198,1.0000,240000000.0000,0.00,58,0.0000,0E-10
199,240000001.0000,300000000.0000,10.00,58,6000000.0000,6000000.0000000000
200,300000001.0000,380000000.0000,15.00,58,18000000.0000,12000000.0000000000
201,380000001.0000,500000000.0000,20.00,58,42000000.0000,24000000.0000000000
202,500000001.0000,666666667.0000,25.00,58,83666666.0000,41666667.0000000000
203,666666668.0000,999999999999.0000,30.00,58,299883666665.0000,299799999999.0000000000
204,1.0000,240000000.0000,0.00,59,0.0000,0E-10
205,240000001.0000,300000000.0000,5.00,59,3000000.0000,3000000.0000000000
206,300000001.0000,380000000.0000,7.50,59,9000000.0000,6000000.0000000000
207,380000001.0000,500000000.0000,10.00,59,21000000.0000,12000000.0000000000
208,500000001.0000,666666667.0000,12.50,59,41833333.0000,20833333.0000000000
209,666666668.0000,999999999999.0000,15.00,59,149941833333.0000,149900000000.0000000000
210,1.0000,999999999999.0000,0.00,60,0.0000,0E-10
211,1.0000,240000000.0000,0.00,61,0.0000,0E-10
212,240000001.0000,1920000000.0000,10.00,61,168000000.0000,168000000.0000000000
213,1920000001.0000,999999999999.0000,20.00,61,19784000000.0000,199616000000.0000000000
214,1.0000,240000000.0000,0.00,62,0.0000,0E-10
215,240000001.0000,1920000000.0000,5.00,62,84000000.0000,84000000.0000000000
216,1920000001.0000,999999999999.0000,10.00,62,99892000000.0000,99808000000.0000000000
217,1.0000,999999999999.0000,0.00,63,0.0000,0E-10
218,1.0000,400000000.0000,0.00,64,0.0000,0E-10
219,400000001.0000,800000000.0000,10.00,64,40000000.0000,40000000.0000000000
220,800000001.0000,1000000000.0000,15.00,64,70000000.0000,30000000.0000000000
221,1000000001.0000,1200000000.0000,20.00,64,110000000.0000,40000000.0000000000
222,1200000001.0000,1400000000.0000,25.00,64,160000000.0000,50000000.0000000000
223,1400000001.0000,999999999999.0000,30.00,64,299740000000.0000,299579999999.0000000000
224,1.0000,400000000.0000,0.00,65,0.0000,0E-10
225,400000001.0000,800000000.0000,5.00,65,20000000.0000,20000000.0000000000
