SchedulingItemId,SchedulingRef,DateTime
632,-1,2019-12-12 00:00:00
633,-1,2019-12-13 00:00:00
634,-1,2019-12-14 00:00:00
635,-1,2019-12-15 00:00:00
636,-1,2019-12-16 00:00:00
637,-1,2019-12-17 00:00:00
638,-1,2019-12-18 00:00:00
639,-1,2019-12-19 00:00:00
640,-1,2019-12-20 00:00:00
641,-1,2019-12-21 00:00:00
642,-1,2019-12-22 00:00:00
643,-1,2019-12-23 00:00:00
644,-1,2019-12-24 00:00:00
645,-1,2019-12-25 00:00:00
646,-1,2019-12-26 00:00:00
647,-1,2019-12-27 00:00:00
648,-1,2019-12-28 00:00:00
649,-1,2019-12-29 00:00:00
650,-1,2019-12-30 00:00:00
651,-1,2019-12-31 00:00:00
652,-1,2020-01-01 00:00:00
653,-1,2020-01-02 00:00:00
654,-1,2020-01-03 00:00:00
655,-1,2020-01-04 00:00:00
656,-1,2020-01-05 00:00:00
657,-1,2020-01-06 00:00:00
658,-1,2020-01-07 00:00:00
659,-1,2020-01-08 00:00:00
660,-1,2020-01-09 00:00:00
661,-1,2020-01-10 00:00:00
662,-1,2020-01-11 00:00:00
663,-1,2020-01-12 00:00:00
664,-1,2020-01-13 00:00:00
665,-1,2020-01-14 00:00:00
666,-1,2020-01-15 00:00:00
667,-1,2020-01-16 00:00:00
668,-1,2020-01-17 00:00:00
669,-1,2020-01-18 00:00:00
670,-1,2020-01-19 00:00:00
671,-1,2020-01-20 00:00:00
672,-1,2020-01-21 00:00:00
673,-1,2020-01-22 00:00:00
674,-1,2020-01-23 00:00:00
675,-1,2020-01-24 00:00:00
676,-1,2020-01-25 00:00:00
677,-1,2020-01-26 00:00:00
678,-1,2020-01-27 00:00:00
679,-1,2020-01-28 00:00:00
680,-1,2020-01-29 00:00:00
681,-1,2020-01-30 00:00:00
682,-1,2020-01-31 00:00:00
683,-1,2020-02-01 00:00:00
684,-1,2020-02-02 00:00:00
685,-1,2020-02-03 00:00:00
686,-1,2020-02-04 00:00:00
687,-1,2020-02-05 00:00:00
688,-1,2020-02-06 00:00:00
689,-1,2020-02-07 00:00:00
690,-1,2020-02-08 00:00:00
691,-1,2020-02-09 00:00:00
692,-1,2020-02-10 00:00:00
693,-1,2020-02-11 00:00:00
694,-1,2020-02-12 00:00:00
695,-1,2020-02-13 00:00:00
696,-1,2020-02-14 00:00:00
697,-1,2020-02-15 00:00:00
698,-1,2020-02-16 00:00:00
699,-1,2020-02-17 00:00:00
700,-1,2020-02-18 00:00:00
701,-1,2020-02-19 00:00:00
702,-1,2020-02-20 00:00:00
703,-1,2020-02-21 00:00:00
704,-1,2020-02-22 00:00:00
705,-1,2020-02-23 00:00:00
706,-1,2020-02-24 00:00:00
707,-1,2020-02-25 00:00:00
708,-1,2020-02-26 00:00:00
709,-1,2020-02-27 00:00:00
710,-1,2020-02-28 00:00:00
711,-1,2020-02-29 00:00:00
712,-1,2020-03-01 00:00:00
713,-1,2020-03-02 00:00:00
714,-1,2020-03-03 00:00:00
715,-1,2020-03-04 00:00:00
716,-1,2020-03-05 00:00:00
717,-1,2020-03-06 00:00:00
718,-1,2020-03-07 00:00:00
719,-1,2020-03-08 00:00:00
720,-1,2020-03-09 00:00:00
721,-1,2020-03-10 00:00:00
722,-1,2020-03-11 00:00:00
723,-1,2020-03-12 00:00:00
724,-1,2020-03-13 00:00:00
725,-1,2020-03-14 00:00:00
726,-1,2020-03-15 00:00:00
727,-1,2020-03-16 00:00:00
728,-1,2020-03-17 00:00:00
729,-1,2020-03-18 00:00:00
730,-1,2020-03-19 00:00:00
731,-1,2020-03-20 00:00:00
732,-1,2020-03-21 00:00:00
733,-1,2020-03-22 00:00:00
734,-1,2020-03-23 00:00:00
735,-1,2020-03-24 00:00:00
736,-1,2020-03-25 00:00:00
737,-1,2020-03-26 00:00:00
738,-1,2020-03-27 00:00:00
739,-1,2020-03-28 00:00:00
740,-1,2020-03-29 00:00:00
741,-1,2020-03-30 00:00:00
742,-1,2020-03-31 00:00:00
743,-1,2020-04-01 00:00:00
744,-1,2020-04-02 00:00:00
745,-1,2020-04-03 00:00:00
746,-1,2020-04-04 00:00:00
747,-1,2020-04-05 00:00:00
748,-1,2020-04-06 00:00:00
749,-1,2020-04-07 00:00:00
750,-1,2020-04-08 00:00:00
751,-1,2020-04-09 00:00:00
752,-1,2020-04-10 00:00:00
753,-1,2020-04-11 00:00:00
754,-1,2020-04-12 00:00:00
755,-1,2020-04-13 00:00:00
756,-1,2020-04-14 00:00:00
757,-1,2020-04-15 00:00:00
758,-1,2020-04-16 00:00:00
759,-1,2020-04-17 00:00:00
760,-1,2020-04-18 00:00:00
761,-1,2020-04-19 00:00:00
762,-1,2020-04-20 00:00:00
763,-1,2020-04-21 00:00:00
764,-1,2020-04-22 00:00:00
765,-1,2020-04-23 00:00:00
766,-1,2020-04-24 00:00:00
767,-1,2020-04-25 00:00:00
768,-1,2020-04-26 00:00:00
769,-1,2020-04-27 00:00:00
770,-1,2020-04-28 00:00:00
771,-1,2020-04-29 00:00:00
772,-1,2020-04-30 00:00:00
773,-1,2020-05-01 00:00:00
774,-1,2020-05-02 00:00:00
775,-1,2020-05-03 00:00:00
776,-1,2020-05-04 00:00:00
777,-1,2020-05-05 00:00:00
778,-1,2020-05-06 00:00:00
779,-1,2020-05-07 00:00:00
780,-1,2020-05-08 00:00:00
781,-1,2020-05-09 00:00:00
782,-1,2020-05-10 00:00:00
783,-1,2020-05-11 00:00:00
784,-1,2020-05-12 00:00:00
785,-1,2020-05-13 00:00:00
786,-1,2020-05-14 00:00:00
787,-1,2020-05-15 00:00:00
788,-1,2020-05-16 00:00:00
789,-1,2020-05-17 00:00:00
790,-1,2020-05-18 00:00:00
791,-1,2020-05-19 00:00:00
792,-1,2020-05-20 00:00:00
793,-1,2020-05-21 00:00:00
794,-1,2020-05-22 00:00:00
795,-1,2020-05-23 00:00:00
796,-1,2020-05-24 00:00:00
797,-1,2020-05-25 00:00:00
798,-1,2020-05-26 00:00:00
799,-1,2020-05-27 00:00:00
800,-1,2020-05-28 00:00:00
801,-1,2020-05-29 00:00:00
802,-1,2020-05-30 00:00:00
803,-1,2020-05-31 00:00:00
804,-1,2020-06-01 00:00:00
805,-1,2020-06-02 00:00:00
806,-1,2020-06-03 00:00:00
807,-1,2020-06-04 00:00:00
808,-1,2020-06-05 00:00:00
809,-1,2020-06-06 00:00:00
810,-1,2020-06-07 00:00:00
811,-1,2020-06-08 00:00:00
812,-1,2020-06-09 00:00:00
813,-1,2020-06-10 00:00:00
814,-1,2020-06-11 00:00:00
815,-1,2020-06-12 00:00:00
816,-1,2020-06-13 00:00:00
817,-1,2020-06-14 00:00:00
818,-1,2020-06-15 00:00:00
819,-1,2020-06-16 00:00:00
820,-1,2020-06-17 00:00:00
821,-1,2020-06-18 00:00:00
822,-1,2020-06-19 00:00:00
823,-1,2020-06-20 00:00:00
824,-1,2020-06-21 00:00:00
825,-1,2020-06-22 00:00:00
826,-1,2020-06-23 00:00:00
827,-1,2020-06-24 00:00:00
828,-1,2020-06-25 00:00:00
829,-1,2020-06-26 00:00:00
830,-1,2020-06-27 00:00:00
831,-1,2020-06-28 00:00:00
832,-1,2020-06-29 00:00:00
833,-1,2020-06-30 00:00:00
834,-1,2020-07-01 00:00:00
835,-1,2020-07-02 00:00:00
836,-1,2020-07-03 00:00:00
837,-1,2020-07-04 00:00:00
838,-1,2020-07-05 00:00:00
839,-1,2020-07-06 00:00:00
840,-1,2020-07-07 00:00:00
841,-1,2020-07-08 00:00:00
842,-1,2020-07-09 00:00:00
843,-1,2020-07-10 00:00:00
844,-1,2020-07-11 00:00:00
845,-1,2020-07-12 00:00:00
846,-1,2020-07-13 00:00:00
847,-1,2020-07-14 00:00:00
848,-1,2020-07-15 00:00:00
849,-1,2020-07-16 00:00:00
850,-1,2020-07-17 00:00:00
851,-1,2020-07-18 00:00:00
852,-1,2020-07-19 00:00:00
853,-1,2020-07-20 00:00:00
854,-1,2020-07-21 00:00:00
855,-1,2020-07-22 00:00:00
856,-1,2020-07-23 00:00:00
857,-1,2020-07-24 00:00:00
858,-1,2020-07-25 00:00:00
859,-1,2020-07-26 00:00:00
860,-1,2020-07-27 00:00:00
861,-1,2020-07-28 00:00:00
862,-1,2020-07-29 00:00:00
863,-1,2020-07-30 00:00:00
864,-1,2020-07-31 00:00:00
865,-1,2020-08-01 00:00:00
866,-1,2020-08-02 00:00:00
867,-1,2020-08-03 00:00:00
868,-1,2020-08-04 00:00:00
869,-1,2020-08-05 00:00:00
870,-1,2020-08-06 00:00:00
871,-1,2020-08-07 00:00:00
872,-1,2020-08-08 00:00:00
873,-1,2020-08-09 00:00:00
874,-1,2020-08-10 00:00:00
875,-1,2020-08-11 00:00:00
876,-1,2020-08-12 00:00:00
877,-1,2020-08-13 00:00:00
878,-1,2020-08-14 00:00:00
879,-1,2020-08-15 00:00:00
880,-1,2020-08-16 00:00:00
881,-1,2020-08-17 00:00:00
882,-1,2020-08-18 00:00:00
883,-1,2020-08-19 00:00:00
884,-1,2020-08-20 00:00:00
885,-1,2020-08-21 00:00:00
886,-1,2020-08-22 00:00:00
887,-1,2020-08-23 00:00:00
888,-1,2020-08-24 00:00:00
889,-1,2020-08-25 00:00:00
890,-1,2020-08-26 00:00:00
891,-1,2020-08-27 00:00:00
892,-1,2020-08-28 00:00:00
893,-1,2020-08-29 00:00:00
894,-1,2020-08-30 00:00:00
895,-1,2020-08-31 00:00:00
896,-1,2020-09-01 00:00:00
897,-1,2020-09-02 00:00:00
898,-1,2020-09-03 00:00:00
899,-1,2020-09-04 00:00:00
900,-1,2020-09-05 00:00:00
901,-1,2020-09-06 00:00:00
902,-1,2020-09-07 00:00:00
903,-1,2020-09-08 00:00:00
904,-1,2020-09-09 00:00:00
905,-1,2020-09-10 00:00:00
906,-1,2020-09-11 00:00:00
907,-1,2020-09-12 00:00:00
908,-1,2020-09-13 00:00:00
909,-1,2020-09-14 00:00:00
910,-1,2020-09-15 00:00:00
911,-1,2020-09-16 00:00:00
912,-1,2020-09-17 00:00:00
913,-1,2020-09-18 00:00:00
914,-1,2020-09-19 00:00:00
915,-1,2020-09-20 00:00:00
916,-1,2020-09-21 00:00:00
917,-1,2020-09-22 00:00:00
918,-1,2020-09-23 00:00:00
919,-1,2020-09-24 00:00:00
920,-1,2020-09-25 00:00:00
921,-1,2020-09-26 00:00:00
922,-1,2020-09-27 00:00:00
923,-1,2020-09-28 00:00:00
924,-1,2020-09-29 00:00:00
925,-1,2020-09-30 00:00:00
926,-1,2020-10-01 00:00:00
927,-1,2020-10-02 00:00:00
928,-1,2020-10-03 00:00:00
929,-1,2020-10-04 00:00:00
930,-1,2020-10-05 00:00:00
931,-1,2020-10-06 00:00:00
932,-1,2020-10-07 00:00:00
933,-1,2020-10-08 00:00:00
934,-1,2020-10-09 00:00:00
935,-1,2020-10-10 00:00:00
936,-1,2020-10-11 00:00:00
937,-1,2020-10-12 00:00:00
938,-1,2020-10-13 00:00:00
939,-1,2020-10-14 00:00:00
940,-1,2020-10-15 00:00:00
941,-1,2020-10-16 00:00:00
